Review,Date,Rating
Be prepared for no one that you call at this hotel to know anything and to get a different answer to your same question every time you ask. Be prepared for hidden fees that you will have to pay upon check out,8/18/19,1
I can not understand how a man in front of guest réception try to steal a suit case (about half Past TwoPm) on 14th of july...While security agent was Stand up on the stairs of the entrance of the hôtel.. This man was catched up by the owner of the suit case ...but he was out in few seconds... During this incident i was waiting in the hall with a few Customers to get our rooms..,8/4/19,3
"This hotel had very few amenities, not even an outside area within the hotel property to sit outside. No swimming pool, and was not aware of a fitness center. We had to call to front desk/housekeeping to request towels and a fridge several times, and the front door staff hit on us several times ",7/24/19,2
"Why charge a quest this fee if they don't use it, You can keep track by the use of the room key for entrance to the gym. You have on file who uses it . Then charge those quest who use the gym but charge quest who don't ",7/10/19,4
"After prepaying, we arrived and were told we could not stay at ROW NYC because they had overbooked and booked us into a lesser quality hotel. We were meeting friends who were visiting from overseas, staying at ROW and had plans to stay with us. Don't take your chances, do not stay here, there are better hotels in NYC, just not this one. ",6/26/19,1
"Close to very fine restaurants , night clubs and other entertainment with the bright lights of Time Square in walking distance. Walking distance to major corporations for business meetings and MSG and Penn Station where trains can go in all directions ",6/11/19,5
Check in takes a long time. Rooms are small and not cleaned properly. On one day we had to ask several times for towels & the room to be cleaned. It was finally cleaned at 8pm and only then could we shower,5/21/19,1
Booked through AirBnB. Charged resort fee and taxes on arrival. This is not discussed in the agreement and specifically forbidden in the confirmation email. Hotel notified 3 days ago through AirBnB... SIlence,5/10/19,1
"A lot of hip European guests - a plus. If you want to be amongst Times Square area's frenetic pace, and don't mind a lobby that has music at a high decibel (think nightclub volume), then this is the place for you ",5/9/19,4
"This was just a standard small New York City room. It was nothing special, just adequate. The next time I am in New York City I will definitely search for a different hotel to stay at. The elevators could definitely use some work ",5/7/19,4
"We chose ROW NYC because my wife has limited mobility and it was very close to the show we were attending and a restaurant where we met with friends. There was a mix-up on our reservation for an ADA-compliant room and Hotel Associate ""Douglas"" when above and beyond the call to make matters right. If we go back to NYC for another visit to see shows we'll make the ROW our first choice for accommodations ",4/15/19,5
"I live in NJ and whenever my wife and I go into the city for a long weekend, we stay at ROW NYC, previously the Milford Plaza. Its not only convenient to just about everything but it's reasonably priced for the city. Stay here and you won't regret it ",2/26/19,5
"first time saying here and I will be back, it’s just were you need to be, right in the heart of the city only a few blocks from time square, 42nd street etc, I even walked to ground zero, just over an hours walk ",2/4/19,5
"Don't get back to the hotel after 11.30pm expecting a nightcap in the bar ~ not going to happen. Bar shut, even for residents. Don't expect a lunchtime drink either. Bar shut with surly staff cleaning after breakfast. Eight lifts, but seem to be allocated to certain floors ~ waited 15 mins for a lift one morning ~ quicker and easier to walk down 17 flights. Definitely will not be returning. ",1/30/19,3
"Row NYC is exactly what you need and nothing you don’t. Nothing extravagant, just a hip and environmentally friendly place to stay while visiting NYC. Plenty to eat and experience right in the hotel, and tons more right outside the door. ",1/28/19,5
Make room bigger as well as bathroom. He dresser and bed leave no room to get in between. If you are taller than 5’8 the bed is not long enough for you. if you are bigger than a petite size 4 the you can get in between the dresser and bed without having to crawl over the bed and the radiator is so LOUD. Kept me and my boyfriend up all night because it is literally an arm and half length from the bed and it makes clanking noises all night,1/25/19,1
"Stayed here 13th January for 3 days , what a rip off this hotel is , you get charged resort fee and a breakage deposit, resort fee is a rip off when you dont use water bottles, gym, phone calls and computers but you still have to pay , didn’t get water bottles and water and ice machine didn’t work on our floor and was told to go to 23rd floor if wanted water and ice when there was one on our floor why should we then have to go 5 floors up it should work , if you haven’t got a credit card then resort fee is doubled if payin cash , resort fee only goes up to 4am on your check out day anything after that you get charged extra, rooms are really small , sliding door to bathroom doesn’t close fully , we stayed in Gallivant last year and was only charged $75 dollars breakage and got it back, wont stay here again , ignorant staff , dont care about customers as long as they are taking peoples money, absolutely disgusting ",1/17/19,2
"Great room, simple, and quick, there is a $30 fee per night for facilities which hotels.com didnt reflect on the ""this is what you will pay"" and was at the bottom of the email confirmation. Hotel was very close to the main attraction in NY ",12/28/18,5
Just stayed there for 5 nights while in NYC. Away from 7AM to 8PM but nobody cleaned the room... called 3 times to get someone bringing towels + shampoos and finally receptionist staff hang up the line...nobody care..,12/2/18,1
"This hotel could do a better job on the cleaning. Cleaning of all commin areas, elevators, rooms and bathrooms. Staff didnt clean our room at right times, left trash food bag in the room after cleaning. Sheets were not very crisp. No coffee maker in the room. ",11/15/18,3
"Arrived Thursday at 12.00 pm with 2 friends on getting our room it hadn’t been cleaned so we decided to leave our luggage with in our friends room , and off we went ! Returned around 9.00 pm room still not cleaned ! Went to desk and was told to return back to room in 45 mins and it would be sorted ! gave it 1 hour .You guessed it ! Nothing ! After being very tired I went looking for a cleaner to no avail ! But did find the cleaning store so I got new sheets,bedding ,towels ,soaps toiletries and did it myself !!!! The hotel said they would take all the taxes off but on receipt of the final bill they only took them off for that night ! Which was next to nothing  ",11/11/18,1
"The facility fee was totally not expected in the fianl bil, never discloed on the booking or on arrrival. The elevators not working, need to wait 5 to 10 minutes to get one. The room (carpet) was not clean ",10/29/18,2
There was some kind of plastic laid over the bathtub but there were holes in it which had been repaired with sealing agent. The plastic was still leaking so there was old bathwater under it which squeezed out when you stepped on the plastic (ugh!). The wall behind the TV was falling apart. The air conditioning was noisy so I turned it of but it was still like you were in an airplane. Thought I would get a better room at a four star hotel for this price,10/23/18,2
"rooms premium price was not reflected in sloppy paint work / cleanliness of room. room needed a deep cleaning, paint needed to be redone throughout the room, cracked tub liner needed to be repaired. room needed some hel ",10/19/18,3
"small rooms and bathrooms' air condition didn't work, very noisy everywhere a lot of noise from the air conditioning system even when its nor working, noise from the rooms nearby, front desk didnt hel ",10/11/18,2
"Please, dont offer room 1532 to any guest... it shouldnt be consider as a room... the noise the elevator make everytime it goes up and down can be heard clearly in that room... its like a torture... i asked for a room changed but had to stay a night there anyways because all the other rooms were full. Was not a nice place to start my trip at N ",10/9/18,3
Nothing was complimentary in the hotel . In fact the last day extension I paid extremely high amount . I didn't like the tip culture. What is the staff is being paid for by the hotel is the customer has to tip for everything from carrying the baggage to the room till keeping it in the clock room,9/5/18,3
"This hotel has extra fatility fee even though you don't use any of facilities at all. When you book this hotel, you need to consider about it in advance. I paid extra $100 for two days which was not in my budget. ",8/31/18,2
The Hotel is strategically placed for good business but it is gradually deteriorating in cleanliness. Myself and my family kept sneezing throughout the night during bed time due excessive dust in the rooms,8/30/18,2
"I wouldn't suggest this hotel after staying in it simply because there were cockroaches in the gym area, then the bellboy broke my luggage, the wheel came off completely, he never apologized or offered help, and the room was tiny.. ",8/23/18,1
